question,ans,law_ref,visatype,risklevel,notes
Do J-2 pay SEVIS fee?,"No, only the J-1 principal pays the SEVIS I-901 fee.","8 CFR 214.13","J-2","low","No separate SEVIS fee requirement."
Can J-2 apply for unemployment benefits?,"Only if they worked legally with an EAD and meet state requirements.","State Unemployment Rules","J-2","medium","Rules vary by state."
Do J-2 need to file tax returns?,"Yes, if they earned U.S. income or meet other IRS filing requirements.","IRS Publication 519","J-2","medium","File even if no tax owed."
Can J-2 work without an EAD if self-employed?,"No, any work, including self-employment, requires EAD.","8 CFR 274a.12","J-2","high","Unauthorized work violates status."
Can J-2 change to H-4 status?,"Yes, if the J-1 changes to H-1B and USCIS approves the dependent’s change of status.","8 CFR 248","J-2","medium","Status change must be approved before working."
Can J-2 apply for a travel document?,"Yes, they can apply for advance parole if changing to another status.","USCIS I-131","J-2","medium","Advance parole needed if leaving during pending change of status."
Do J-2 need to attend visa interviews?,"Yes, except in rare cases of interview waivers for certain renewals.","22 CFR 41.102","J-2","low","Interview requirements depend on consulate policy."
Can J-2 dependents volunteer?,"Yes, volunteering is allowed if it meets the IRS and DOL definitions of volunteer work.","DOL Volunteer Guidelines","J-2","low","No EAD needed if no compensation is received."
Does J-2 status end if J-1 changes to another visa?,"Yes, J-2 status depends entirely on the J-1’s status.","8 CFR 214.2(j)","J-2","high","Must change status or leave the U.S. if J-1 changes."
Can J-2 apply for Social Security Number without EAD?,"No, a valid EAD is required to obtain an SSN.","SSA POMS RM 10211.001","J-2","high","SSN application requires work authorization."
Can J-2 children attend U.S. public schools?,"Yes, they may attend K–12 schools without restriction.","Plyler v. Doe (457 U.S. 202)","J-2","low","No tuition or work restrictions for minors."
Can J-2 apply for a driver’s license?,"Yes, with valid immigration documents and proof of state residency.","State DMV Guidelines","J-2","low","Exact requirements vary by state."
Can J-2 stay after J-1 completes program?,"No, both must leave within the grace period unless status changes.","8 CFR 214.2(j)","J-2","high","Grace period is typically 30 days."
Are J-2 subject to health insurance requirements?,"Yes, they must have insurance meeting J program minimums.","22 CFR 62.14","J-2","medium","Coverage required for entire stay."
Can J-2 travel independently from J-1?,"Yes, but must maintain a valid DS-2019 and visa for re-entry.","DOS Travel Guidance","J-2","medium","J-2 can enter/exit without J-1 if status valid."
Can J-2 apply for permanent residency through marriage to a U.S. citizen?,"Yes, but may still need to fulfill or waive the 2-year home residency rule.","INA 245","J-2","high","212(e) waiver often required."
Do J-2 have to report address changes?,"Yes, they must report within 10 days via the J-1’s SEVIS sponsor.","8 CFR 265.1","J-2","low","Applies to both J-1 and J-2 dependents."
