question,answer,law_ref,visa_type,risk_level,notes
"Can I study while on H‑1B?","Incidental study is allowed, but your primary purpose must remain the H‑1B employment.","8 CFR 214.2(h); USCIS PM guidance",H1B,safe,"Starting a new full‑time F‑1 may need COS."
"What is consular processing vs change of status?","Change of status lets you switch inside the U.S.; consular processing requires visa stamping abroad to reenter in H‑1B.","8 CFR 248; 8 CFR 214.2(h)",H1B,safe,""
"Can I reenter the U.S. if my visa stamp expired but approval is valid?","Not without a new visa, unless automatic revalidation applies for brief trips to contiguous territory.","22 CFR 41.112(d); 8 CFR 214.1(b)",H1B,violation,""
"Do wage level and specialty occupation standards interact?","Wage level should reflect the role’s complexity; extremely low levels can undermine specialty occupation claims.","8 CFR 214.2(h)(4)(iii)(A); 20 CFR 655.731",H1B,risk,""
"Is a general business degree enough for a software developer H‑1B?","Usually no; the degree must relate directly to the occupation (e.g., CS/SE).","8 CFR 214.2(h)(4)(iii)(A)",H1B,violation,"Case‑by‑case with transcripts/duties."
"Can time in H‑4 or F‑1 count toward the H‑1B 6‑year limit?","No, only time in H‑1B status counts toward the 6‑year maximum.","8 CFR 214.2(h)(13)(iii)",H1B,safe,""
"Can I 'reset' the H‑1B clock by leaving the U.S. for a year?","Yes, after 1 year abroad, you may be eligible for a new 6‑year period (subject to cap).","8 CFR 214.2(h)(13)(iii)(A)",H1B,safe,""
"Can I switch from H‑1B to H‑4 and back to H‑1B?","Yes, via change of status with proper timing; work authorization depends on the status held.","8 CFR 248; 8 CFR 214.2(h)",H1B,safe,""
"Does H‑4 spouse get automatic work authorization?","No. Only certain H‑4 spouses may apply for EAD under (c)(26) if H‑1B principal meets criteria.","8 CFR 274a.12(c)(26); USCIS PM Vol.10 Part B Ch.2",H1B,unclear,"Separate H‑4 topic; include for related family planning."
"Can an H‑1B work from abroad for a U.S. employer?","You won’t be in H‑1B status while abroad; immigration impact is limited, but tax and reentry visa issues remain.","8 CFR 214.2(h); DOS/CBP rules",H1B,unclear,""
"Does changing from EVC (end‑client) to in‑house change anything?","If job/location materially change, amendment is needed; otherwise informatively document changes.","8 CFR 214.2(h)(2)(i)(E)",H1B,risk,""
"What documents should I keep as an H‑1B worker?","I‑797 approvals, LCAs, pay stubs, W‑2s, employment letters, and travel records.","USCIS PM; 20 CFR 655.760 (public access file—employer)",H1B,safe,"Worker keeps copies; employer keeps PAF."
"What is the 'public access file' (PAF)?","Employers must keep certain LCA‑related documents available for public inspection.","20 CFR 655.760",H1B,safe,""
"Can I change my work location within the same MSA without an amendment?","If within the same area of intended employment with proper notice, an amendment may not be required.","20 CFR 655.734; Matter of Simeio",H1B,unclear,"Check commuting area rules."
"Is unpaid leave allowed on H‑1B?","If the leave is truly voluntary (e.g., medical, family), wage obligations may be paused; employer‑caused benching still requires pay.","20 CFR 655.731(c)(7)",H1B,unclear,"Document voluntary leave."
"Can I be reimbursed for H‑1B fees I paid?","Certain fees are employer’s responsibility; if worker pays, it cannot drop wage below the required wage.","20 CFR 655.731(c)(9)",H1B,violation,""
"Does an H‑1B denial bar me from future filings?","No automatic bar; a new petition may be filed addressing issues from the denial.","8 CFR 214.2(h); USCIS PM",H1B,safe,""
"Can I switch employers while an I‑140 is pending?","Portability under AC21 may allow job changes for adjustment applicants; H‑1B portability is separate.","AC21 §106(c); 8 CFR 245.25; 8 CFR 214.2(h)(2)(i)(H)",H1B,unclear,"Green‑card portability ≠ H‑1B portability."
"Is a client letter mandatory for third‑party placement?","Not strictly required by regulation, but strong evidence is recommended.","USCIS PM Vol.2 Part H",H1B,unclear,"Helps prove specialty/control."
"Can I change from H‑1B to O‑1 if I qualify?","Yes, via change of status or consular processing if you meet O‑1 criteria.","8 CFR 248; 8 CFR 214.2(o)",H1B,safe,""
"Do I need to stop working when my H‑1B extension is filed?","No, timely filed extension with same employer allows up to 240 days continued employment.","8 CFR 274a.12(b)(20)",H1B,safe,"Travel discouraged during 240‑day period."
"Is there a minimum salary for H‑1B?","Yes—the required wage is the higher of prevailing or actual wage for the position and location.","20 CFR 655.731",H1B,safe,""
"Do I need a new H‑1B if I’m promoted?","If promotion materially changes duties/requirements, file an amendment; minor changes may not require one.","8 CFR 214.2(h)(2)(i)(E)",H1B,unclear,""
