question,ans,law_ref,visatype,risklevel,notes
Can I volunteer on a J-1 visa?,"Yes, genuine volunteer activities not replacing paid work are allowed.","DOL Guidance on Volunteers","J-1","low","Ensure compliance."
Do J-1 holders need to inform SEVIS of address changes?,"Yes, within 10 days through your sponsor.","8 CFR 214.2(j)","J-1","low","Sponsor updates SEVIS."
What happens if my sponsor withdraws my DS-2019?,"Your J-1 status ends and you must depart or apply for a change of status immediately.","22 CFR 62.40","J-1","high","Immediate impact."
Are J-1 exchange visitors covered by U.S. labor laws?,"Yes, they are protected by applicable federal, state, and local labor laws.","DOL Exchange Visitor Rights","J-1","medium","Labor law protections apply."
Can J-1 students work off-campus?,"Yes, only through approved Academic Training or in cases of serious economic hardship with sponsor and USCIS approval.","8 CFR 214.2(j)(1)(v)","J-1","medium","Requires approval."
Do J-1 visas allow multiple entries?,"Yes, if your visa stamp is marked 'M' for multiple entries and you have valid documents.","Visa Foil Guidance","J-1","low","Depends on visa foil."
Can J-1 physicians train in the U.S.?,"Yes, under specific graduate medical education programs approved by ECFMG.","22 CFR 62.27","J-1","high","Special program category."
Is English proficiency required for J-1?,"Yes, applicants must demonstrate sufficient English to participate effectively in their program.","22 CFR 62.10(a)(2)","J-1","low","Proficiency proof needed."
What if I lose my passport while on J-1?,"Report it immediately, obtain a new passport, and update your sponsor and SEVIS record.","DOS Lost Passport Guidance","J-1","medium","Security and status impact."
Can J-1 visas be issued for part-time programs?,"Generally no, except for certain short-term scholar or specialist categories.","22 CFR 62.21","J-1","medium","Mostly full-time programs."
Can a J-1 holder change field of study?,"Only with sponsor approval and within program category limitations.","22 CFR 62.23","J-1","medium","Limited flexibility."
Do J-1 holders get unemployment benefits?,"Generally no, unless permitted by state law and authorized employment history.","State UI Guidance","J-1","low","Varies by state."
What happens if my J-1 program is terminated early?,"Your status ends immediately; you may have to depart the U.S. without a grace period.","22 CFR 62.40","J-1","high","No grace if terminated for cause."
Can J-1 visa holders be self-employed?,"No, unless self-employment is explicitly part of the program and approved by sponsor.","22 CFR 62.16","J-1","high","Program must allow it."
Can a J-1 be reinstated after status violation?,"Possibly, if you apply promptly and meet eligibility criteria; otherwise, you must depart and reapply.","8 CFR 214.2(j)(1)(vi)","J-1","high","Reinstatement is rare."
Can J-1 holders get a Social Security Number?,"Yes, if you have authorized employment; bring DS-2019, passport, I-94, and job offer to the SSA office.","SSA Policy for Exchange Visitors","J-1","low","Employment authorization required."
Are J-1 interns allowed to switch host companies?,"Only with sponsor approval and if consistent with the original training plan.","22 CFR 62.22","J-1","medium","Must maintain program objectives."
Do J-1 holders pay U.S. income tax?,"Yes, most J-1 holders are subject to federal and state taxes on U.S.-source income, though some may benefit from tax treaties.","IRS Publication 519","J-1","medium","Check tax treaty status."
Can J-1 research scholars bring dependents?,"Yes, spouses and children can come on J-2 visas.","8 CFR 214.2(j)(1)(ii)","J-1","low","J-2 eligibility linked to J-1."
Are J-1s covered by minimum wage laws?,"Yes, J-1 participants must be paid at least the applicable minimum wage unless the role is unpaid training explicitly approved.","FLSA Guidance","J-1","medium","Wage laws apply."
Is travel allowed during J-1 program?,"Yes, but you must have a valid visa stamp, DS-2019 with travel signature, and comply with program conditions.","DOS Travel Guidance","J-1","low","Sponsor signature required."
Can J-1 teachers work at multiple schools?,"Only if approved by sponsor and consistent with program objectives.","22 CFR 62.24","J-1","medium","Multiple sites require approval."
Do J-1 holders need health insurance for dependents?,"Yes, sponsors must ensure both J-1 and J-2 dependents have required health insurance coverage.","22 CFR 62.14","J-1","medium","Minimum coverage levels apply."
Can a J-1 be denied entry after visa issuance?,"Yes, CBP officers at the port of entry can deny admission if they find you inadmissible.","INA 212","J-1","high","Admission is not guaranteed."
What if my J-1 sponsor loses designation?,"You must transfer to another designated sponsor or leave the U.S.","22 CFR 62.50","J-1","high","Program disruption possible."
