question,answer,law_ref,visa_type,risk_level,notes
Can F‑1 students volunteer in roles that are normally paid?,Volunteering in roles typically paid can be treated as unauthorized employment; consult the DSO before doing so.,"USCIS PM Vol.2 Part F, Chapter 6 – Employment",F1,risk,
What is the F‑1 60‑day grace period?,"Up to 60 days after program or OPT completion to prepare for departure, transfer, or change status, if otherwise maintaining status.",USCIS PM Vol.2 Part F (Grace period); 8 CFR 214.2(f)(5),F1,safe,
What is the five‑month temporary absence rule?,A student who is outside the U.S. for more than 5 months and not able to remain enrolled generally cannot maintain F‑1 status.,"USCIS PM Vol.2 Part F, Chapter 7 – Absences",F1,violation,
Can I travel while my OPT is pending?,Travel while OPT is pending carries risk; ensure proper documentation and be aware of reentry issues.,"USCIS PM Vol.2 Part F, Chapter 7 – Absences; OPT travel guidance",F1,unclear,
Can I reenter the U.S. while on approved OPT?,"Yes, with valid passport, F‑1 visa, I‑20 travel endorsement, and proof of OPT and employment.","USCIS PM Vol.2 Part F, Chapter 7 – Absences",F1,safe,
What is cap‑gap and who qualifies?,A regulatory bridge extending status (and sometimes employment authorization) for eligible F‑1s with timely filed cap‑subject H‑1B change‑of‑status petitions.,8 CFR 214.2(f)(5)(vi); USCIS Cap‑Gap guidance,F1,safe,
Does cap‑gap apply to F‑2 dependents?,"Yes, the automatic duration‑of‑status extension applies to F‑2 dependents when cap‑gap applies to the F‑1 principal.",8 CFR 214.2(f)(5)(vi)(D),F1,safe,
Can I start OPT before finishing my program?,"Yes, pre‑completion OPT is possible with limits; time used is deducted from the total OPT available.","8 CFR 214.2(f)(10)(ii)(A); USCIS PM Vol.2 Part F, Chapter 5",F1,safe,
Can I work more than 20 hours/week on pre‑completion OPT during school?,Pre‑completion OPT during the academic term is generally limited to part‑time; check specific limits.,"USCIS PM Vol.2 Part F, Chapter 5 – OPT",F1,violation,
What documentation do I need for on‑campus employment?,"You will need appropriate I‑20 notation, valid status, and I‑9 evidence; SSN may be required by payroll.","USCIS I‑9 M‑274 §7.4.2; USCIS PM Vol.2 Part F, Chapter 6",F1,safe,
Are there exceptions to the 20‑hour on‑campus limit?,"Yes, emergent circumstances noticed in the Federal Register may allow exceptions; regular breaks also allow more hours.",ICE SEVIS Employment guidance; USCIS I‑9 M‑274 §7.4.2,F1,safe,
Can F‑1s work off‑campus due to severe economic hardship?,"Possibly, with DSO recommendation and USCIS authorization when criteria are met.","8 CFR 214.2(f)(9)(ii)(C); USCIS PM Vol.2 Part F, Chapter 6",F1,unclear,
Does CPT need to be part‑time or full‑time?,"CPT may be part‑time or full‑time, depending on curriculum and authorization.","8 CFR 214.2(f)(10)(i); USCIS PM Vol.2 Part F, Chapter 5",F1,safe,
Can extensive full‑time CPT affect later OPT eligibility?,"Yes, 12 months or more of full‑time CPT at the same educational level generally eliminates OPT eligibility at that level.","USCIS PM Vol.2 Part F, Chapter 5 – CPT/OPT interaction",F1,risk,
Can I change employers while on OPT?,"Yes, but the new job must be related to your major and you must comply with reporting requirements.","USCIS PM Vol.2 Part F, Chapter 5 – OPT reporting",F1,safe,
What must be reported during STEM OPT?,"Six‑month validations, annual self‑evaluations, material changes to I‑983, and employer changes.","USCIS PM Vol.2 Part F, Chapter 5 – STEM OPT reporting",F1,violation,
Can F‑1 students take fewer credits than a full course of study?,"Only with DSO‑authorized Reduced Course Load for limited reasons (academic difficulties, medical, final term).","USCIS PM Vol.2 Part F, Chapter 3 – Full Course of Study and RCL",F1,unclear,
Can F‑1 students study online full‑time?,"No, only limited online coursework counts toward a full course of study under standard rules.","USCIS PM Vol.2 Part F, Chapter 3 – Online coursework limits",F1,violation,
Can I work remotely for a company in another state while on OPT?,Remote work may be allowed if it remains related to the major and all reporting and compliance requirements are met.,"USCIS PM Vol.2 Part F, Chapter 5 – OPT employment conditions",F1,unclear,
Do I need a Social Security Number to start on‑campus work?,Employers typically require an SSN for payroll; you may work once authorized but must obtain an SSN promptly.,USCIS I‑9 M‑274 §7.4.2 (F‑1 evidence); SSA policy (employer payroll),F1,unclear,
Can I travel while on STEM OPT?,"Yes, with proper documents (passport, visa, I‑20 with recent travel signature, EAD, employment evidence).","USCIS PM Vol.2 Part F, Chapter 7 – Absences",F1,safe,
What happens if my OPT EAD is lost or stolen?,You should replace it and avoid working until you have valid work authorization evidence.,USCIS OPT guidance; I‑9 rules on acceptable documents,F1,violation,
Can I start working on OPT before my EAD card arrives?,No. Employment may begin only on/after the EAD start date and when you have the card.,"USCIS PM Vol.2 Part F, Chapter 5 – OPT start; I‑9 requirements",F1,violation,
Can F‑1 students freelance or be self‑employed on OPT?,"Yes, if the business is related to the major and all documentation and reporting requirements are met.","USCIS PM Vol.2 Part F, Chapter 5 – OPT employment types",F1,unclear,
Is day‑one CPT allowed?,"Only when the graduate program legitimately requires training from the start; otherwise, one academic year is required.","8 CFR 214.2(f)(10)(i); USCIS PM Vol.2 Part F, Chapter 5",F1,risk,
How recent must the DSO travel signature be for reentry?,Typically within the last 12 months for enrolled students; shorter windows may apply around OPT travel.,"USCIS PM Vol.2 Part F, Chapter 7 – Travel endorsements",F1,unclear,
Can an F‑1 student work multiple on‑campus jobs?,"Yes, if the total hours while school is in session do not exceed 20 per week.","USCIS PM Vol.2 Part F, Chapter 6 – Employment",F1,violation,
Is concurrent enrollment allowed to meet a full course of study?,Possible in limited circumstances with DSO oversight and SEVP rules.,"8 CFR 214.2(f)(6)(iv); USCIS PM Vol.2 Part F, Chapter 3",F1,unclear,
Can I change to a new program or degree level and keep working on OPT?,Starting a new degree level generally ends prior OPT authorization tied to the previous program.,"USCIS PM Vol.2 Part F, Chapter 5 – OPT and new programs",F1,violation,
Does unpaid CPT exist?,"CPT authorization is about curricular need, not pay; whether paid or unpaid, it must be authorized and integral to the curriculum.","8 CFR 214.2(f)(10)(i); USCIS PM Vol.2 Part F, Chapter 5",F1,violation,
Can I work at a remote site for my CPT employer?,Permissible if it aligns with the curricular objectives and DSO authorization; employer‑school agreements should cover the site.,"8 CFR 214.2(f)(10)(i) (cooperative agreements); USCIS PM Vol.2 Part F, Chapter 5",F1,unclear,
Do I need a new I‑20 for each CPT authorization?,"Yes, CPT is authorized by the DSO on a new I‑20 with details of the training.","USCIS PM Vol.2 Part F, Chapter 5 – CPT authorization mechanics",F1,safe,
How often must STEM OPT employment be verified?,Every six months via validation reports; plus annual evaluations and updates for material changes.,"USCIS PM Vol.2 Part F, Chapter 5 – STEM OPT reporting",F1,violation,
Can F‑1 students take a leave of absence and keep working?,A non‑medical leave typically breaks full‑course‑of‑study and employment eligibility; consult DSO.,"USCIS PM Vol.2 Part F, Chapter 3 and 6",F1,violation,
What if my SEVIS record is terminated for unauthorized employment?,You generally lose F‑1 status and employment authorization; options are very limited without reinstatement.,"USCIS PM Vol.2 Part F, Chapter 8 – Violations and reinstatement; Chapter 6 – Employment",F1,violation,
Can I switch from CPT to OPT mid‑semester?,"You may, but overlapping authorizations and status maintenance must be handled carefully with the DSO.","USCIS PM Vol.2 Part F, Chapter 5",F1,unclear,
Can I start working for a new employer on STEM OPT before updating SEVIS/I‑983?,No. Update SEVIS and a new I‑983 before starting with a new employer.,"USCIS PM Vol.2 Part F, Chapter 5 – STEM OPT employer changes",F1,violation,
Does part‑time CPT reduce OPT eligibility?,"Part‑time CPT does not reduce OPT directly, but time spent still counts toward the overall training experience; full‑time CPT ≥12 months eliminates OPT.","USCIS PM Vol.2 Part F, Chapter 5",F1,risk,
Can F‑1 students intern at a startup?,"Yes, if the role is related to the major and meets CPT or OPT rules and documentation requirements.","USCIS PM Vol.2 Part F, Chapters 5 and 6",F1,unclear,
Can I work for a contract agency on OPT?,Possible if duties relate to the major and all reporting and supervision requirements are satisfied.,"USCIS PM Vol.2 Part F, Chapter 5 – OPT employment types",F1,unclear,
Is self‑employment allowed on STEM OPT?,STEM OPT generally requires a bona fide employer‑employee relationship; many self‑employment setups do not qualify.,"USCIS PM Vol.2 Part F, Chapter 5 – STEM OPT employer‑employee relationship",F1,violation,
What happens if my H‑1B is not selected during cap season while on OPT?,"You must maintain valid F‑1 options (e.g., continue studies, STEM extension if eligible) or depart by the end of status/grace periods.","USCIS PM Vol.2 Part F, Chapter 5 and 8; 8 CFR 214.2(f)(5)",F1,unclear,
Can I take classes part‑time while on post‑completion OPT?,"Limited incidental study may be allowed, but starting a new degree program typically ends OPT.","USCIS PM Vol.2 Part F, Chapter 5 – OPT and study",F1,risk,
Do F‑1 students need to update their address/employer info while on OPT/STEM?,Yes. Students must keep SEVIS information current within required timeframes.,"USCIS PM Vol.2 Part F, Chapter 5 – Reporting obligations",F1,violation,
What are the I‑20 travel signature rules while on OPT/STEM?,Keep a recent travel endorsement (often within 6 months during OPT) before reentry.,"USCIS PM Vol.2 Part F, Chapter 7 – Absences",F1,violation,
Can a newly transferred F‑1 student work on‑campus immediately at the new school?,On‑campus employment at the transfer‑in school may start after SEVIS transfer release and other conditions are met.,"USCIS PM Vol.2 Part F, Chapter 4 – School Transfer; Chapter 6",F1,unclear,
"If my EAD arrives late, can I work retroactively for days missed?","No. Work without a valid, current authorization document is not allowed.","I‑9 rules; USCIS PM Vol.2 Part F, Chapter 5",F1,violation,
Is concurrent on‑campus and CPT work allowed the same term?,"It can be, if all authorizations are valid and hour limits and curricular requirements are satisfied.","USCIS PM Vol.2 Part F, Chapters 5 and 6",F1,unclear,
